fecha_fact;fact;fact_pos;canal;ID;denominacion_1;valor;servicio;descservicio;tiposervicio;tipopres
16/11/2023;120211;30;VA;90005035;EMP;167233.0;SedeExterna;Vivencias;VentaInterna;Especial
3/08/2023;114899;10;CT;90033066;EMP;128900.0;CES;CES Educa;VentaInterna;Especial
16/06/2023;106715;30;CT;80019279;T.A.;110600.0;Bienestar;Bienestar personas;VentaInterna;Normal
20/09/2023;126452;20;CT;90128283;EMP;669500.0;Bienestar;Bienestar personas;VentaInterna;Normal
29/09/2023;129474;10;VA;89093385;EMP;808300.0;CES;CES Educa;VentaInterna;Especial
18/10/2023;133953;50;VA;81102986;EMP;11600.0;Bienestar;Bienestar Emp;VentaInterna;Normal
27/12/2023;143870;80;VA;80000515;T.A.;1683300.0;SedeExterna;Vivencias 2;VentaInterna;Normal
20/12/2023;149496;40;VA;90059043;EMP;32800.0;Bienestar;Bienestar personas;VentaInterna;Normal
31/07/2023;114610;10;VA;81101586;EMP;423400.0;Bienestar;Bienestar personas;VentaInterna;Normal
11/12/2023;144791;40;VA;81102986;EMP;65600.0;Bienestar;Bienestar personas;VentaInterna;Normal
6/10/2023;129803;10;VA;81102224;T.A.;66700.0;Bienestar;Bienestar personas;VentaInterna;Normal
22/11/2023;142926;10;VA;83006453;T.A.;220800.0;Bienestar;Bienestar personas;VentaInterna;Normal
15/06/2023;105975;80;VA;90038012;EMP;48400.0;Bienestar;Bienestar personas;VentaInterna;Normal
26/06/2023;105069;10;VA;90036983;EMP;219400.0;Escuela;CES Emp;VentaInterna;Normal
28/12/2023;141520;50;VA;90036983;EMP;121000.0;SedeExterna;Vivencias;VentaExterna;Especial
21/06/2023;101053;30;VA;90036983;EMP;30000.0;SedeExterna;Vivencias;VentaExterna;Normal
17/11/2023;8641;60;VA;81102986;EMP;11600.0;Bienestar;Bienestar Emp;VentaInterna;Normal
17/11/2023;140721;20;VA;90104019;T.A.;78900.0;Bienestar;Bienestar personas;VentaInterna;Normal
29/06/2023;107786;10;VA;90035924;EMP;423400.0;Bienestar;Bienestar personas;VentaInterna;Normal
6/12/2023;126391;10;VA;90016172;EMP;1639000.0;Bienestar;Bienestar personas;VentaInterna;Normal
12/10/2023;8456;10;CT;90015364;EMP;478722.0;SedeExterna;Vivencias;VentaInterna;Especial
7/07/2023;101863;10;VA;90015364;EMP;356400.0;SedeExterna;Vivencias;VentaInterna;Especial
19/09/2023;126358;10;VA;90108504;EMP;525000.0;Bienestar;Bienestar personas;VentaInterna;Normal
8/11/2023;120096;30;VA;89030065;EMP;212400.0;SedeExterna;Vivencias;VentaInterna;Especial
15/06/2023;105975;110;VA;90038012;EMP;8700.0;Bienestar;Bienestar Emp;VentaInterna;Normal
21/11/2023;140736;10;VA;81100205;EMP;4002000.0;SedeExterna;Sede Interna Emp;VentaInterna;Normal
28/06/2023;107194;10;VA;81101586;EMP;1191600.0;Bienestar;Bienestar personas;VentaInterna;Normal
20/12/2023;148974;20;VA;90038012;EMP;8700.0;Bienestar;Bienestar Emp;VentaInterna;Normal
18/08/2023;118952;20;VA;89093385;EMP;63900.0;Bienestar;Bienestar personas;VentaInterna;Normal
20/06/2023;94764;20;VA;80018032;EMP;219400.0;Escuela;CES Emp;VentaInterna;Normal
2/11/2023;137469;40;CT;81103883;EMP;216600.0;CES;CES Educa;VentaInterna;Especial
